[Czas: 16:24:01.694]	[Dziekan] [PID: 920335] Rekrutacja otwarta. Generuję komisje i kandydatów 
[Czas: 16:24:01.694]	[Dziekan] [PID: 920335] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Utworzono 500 kandydatów. Czekają w kolejce FIFO.
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Czekam na godzinę T 2...
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920514] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920515] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920516] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920517] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920518] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920519] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920520] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920521] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920522] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920523] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920524] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920525] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920526] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920527] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920528] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920529] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920530] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920531] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920532] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920533] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920534] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920535] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920536] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920537] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920538] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920539] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.024]	[Dziekan] [PID: 920335] Kandydat [PID: 920540] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.048]	[Dziekan] [PID: 920335] Kandydat [PID: 920541] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920542] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920543] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920544] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920545] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920546] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920547] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920548] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920549] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920550] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920551] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920552] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920553] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.052]	[Dziekan] [PID: 920335] Kandydat [PID: 920554] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920555] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920556] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920557] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920558] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920559] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920560] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920561] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920562] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920563] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920564] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920565] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920566] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920567] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920568] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.053]	[Dziekan] [PID: 920335] Kandydat [PID: 920569] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920570] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920571] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920572] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920573] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920574] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920575] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920576] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920577] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920578] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920579] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920580] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920581] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920582] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920583] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.054]	[Dziekan] [PID: 920335] Kandydat [PID: 920584] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920585] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920586] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920587] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920588] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920589] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920590] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920591] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920592] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920593] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920594] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920595] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920596] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920597] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920598] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920599] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920600] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920601] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.055]	[Dziekan] [PID: 920335] Kandydat [PID: 920602] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920603] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920604] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920605] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920606] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920607] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920608] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920609] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920610] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920611] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920612] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920613] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920614] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920615] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920616] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920617] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920618] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.056]	[Dziekan] [PID: 920335] Kandydat [PID: 920619] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.057]	[Dziekan] [PID: 920335] Kandydat [PID: 920620] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.057]	[Dziekan] [PID: 920335] Kandydat [PID: 920621] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920622] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920623] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920624] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920625] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920626] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920627] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920628] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.058]	[Dziekan] [PID: 920335] Kandydat [PID: 920629] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920630] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920631] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920632] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920633] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920634] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920635] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920636] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920637] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920638] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920639] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920640] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920641] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920642] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920643] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920644] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920645] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.059]	[Dziekan] [PID: 920335] Kandydat [PID: 920646] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920647] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920648] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920649] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920650] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920651] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920652] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920653] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920654] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920655] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920656] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920657] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920658] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920659] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920660] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920661] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920662] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.060]	[Dziekan] [PID: 920335] Kandydat [PID: 920663] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.092]	[Dziekan] [PID: 920335] Kandydat [PID: 920664] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.094]	[Dziekan] [PID: 920335] Kandydat [PID: 920665] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.094]	[Dziekan] [PID: 920335] Kandydat [PID: 920666] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.094]	[Dziekan] [PID: 920335] Kandydat [PID: 920667] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920668] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920669] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920670] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920671] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920672] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920673] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920674] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920675] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920676] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920677] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920678] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.095]	[Dziekan] [PID: 920335] Kandydat [PID: 920679] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.096]	[Dziekan] [PID: 920335] Kandydat [PID: 920680] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.096]	[Dziekan] [PID: 920335] Kandydat [PID: 920681] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.096]	[Dziekan] [PID: 920335] Kandydat [PID: 920682] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.096]	[Dziekan] [PID: 920335] Kandydat [PID: 920683] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.096]	[Dziekan] [PID: 920335] Kandydat [PID: 920684] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
