[Czas: 15:56:41.370]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:56:44.472]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 908996] treść nr: 29
[Czas: 15:56:47.279]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909551] treść nr: 15
[Czas: 15:56:47.279]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909551] |	 Wynik cząstkowy: 81
[Czas: 15:56:47.279]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909551] |	 Wynik cząstkowy: 23
[Czas: 15:56:47.279]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909551] |	 Wynik cząstkowy: 57
[Czas: 15:56:47.279]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909551] |	 Wynik cząstkowy: 79
[Czas: 15:56:47.279]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909551] |	 Wynik cząstkowy: 68
[Czas: 15:56:47.391]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909551] |	 ZDAŁ A (-> B) |	 Wynik: 61.60 pkt
[Czas: 15:56:47.391]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909552] treść nr: 34
[Czas: 15:56:47.392]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909552] treść nr: 13
[Czas: 15:56:47.392]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909552] treść nr: 47
[Czas: 15:56:47.392]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909552] treść nr: 8
[Czas: 15:56:47.392]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909552] treść nr: 39
[Czas: 15:56:47.393]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909552] |	 Wynik cząstkowy: 40
[Czas: 15:56:47.393]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909552] |	 Wynik cząstkowy: 57
[Czas: 15:56:47.393]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909552] |	 Wynik cząstkowy: 95
[Czas: 15:56:47.393]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909552] |	 Wynik cząstkowy: 93
[Czas: 15:56:47.393]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909552] |	 Wynik cząstkowy: 29
[Czas: 15:56:47.394]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909552] |	 ZDAŁ A (-> B) |	 Wynik: 62.80 pkt
[Czas: 15:56:47.394]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909553] treść nr: 22
[Czas: 15:56:47.394]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909553] treść nr: 41
[Czas: 15:56:47.395]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909553] treść nr: 6
[Czas: 15:56:47.395]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909553] treść nr: 46
[Czas: 15:56:47.395]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909553] treść nr: 33
[Czas: 15:56:47.395]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909553] |	 Wynik cząstkowy: 79
[Czas: 15:56:47.396]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909553] |	 Wynik cząstkowy: 2
[Czas: 15:56:47.396]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909553] |	 Wynik cząstkowy: 5
[Czas: 15:56:47.396]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909553] |	 Wynik cząstkowy: 57
[Czas: 15:56:47.396]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909553] |	 Wynik cząstkowy: 18
[Czas: 15:56:47.396]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909553] |	 ZDAŁ A (-> B) |	 Wynik: 32.20 pkt
[Czas: 15:56:47.397]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909554] treść nr: 16
[Czas: 15:56:47.397]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909554] treść nr: 1
[Czas: 15:56:47.397]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909554] treść nr: 24
[Czas: 15:56:47.397]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909554] treść nr: 21
[Czas: 15:56:47.397]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909554] treść nr: 18
[Czas: 15:56:47.398]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909554] |	 Wynik cząstkowy: 30
[Czas: 15:56:47.398]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909554] |	 Wynik cząstkowy: 52
[Czas: 15:56:47.398]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909554] |	 Wynik cząstkowy: 46
[Czas: 15:56:47.398]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909554] |	 Wynik cząstkowy: 53
[Czas: 15:56:47.398]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909554] |	 Wynik cząstkowy: 96
[Czas: 15:56:47.399]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909554] |	 ZDAŁ A (-> B) |	 Wynik: 55.40 pkt
[Czas: 15:56:47.399]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909555] treść nr: 7
[Czas: 15:56:47.399]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909555] treść nr: 42
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909555] treść nr: 14
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909555] treść nr: 15
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909555] treść nr: 38
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909555] |	 Wynik cząstkowy: 90
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909555] |	 Wynik cząstkowy: 94
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909555] |	 Wynik cząstkowy: 79
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909555] |	 Wynik cząstkowy: 85
[Czas: 15:56:47.400]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909555] |	 Wynik cząstkowy: 100
[Czas: 15:56:47.401]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909555] |	 ZDAŁ A (-> B) |	 Wynik: 89.60 pkt
[Czas: 15:56:47.401]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909557] treść nr: 38
[Czas: 15:56:47.402]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909557] treść nr: 36
[Czas: 15:56:47.402]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909557] treść nr: 29
[Czas: 15:56:47.402]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909557] treść nr: 45
[Czas: 15:56:47.402]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909557] treść nr: 33
[Czas: 15:56:47.403]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909557] |	 Wynik cząstkowy: 91
[Czas: 15:56:47.403]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909557] |	 Wynik cząstkowy: 48
[Czas: 15:56:47.403]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909557] |	 Wynik cząstkowy: 61
[Czas: 15:56:47.403]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909557] |	 Wynik cząstkowy: 26
[Czas: 15:56:47.403]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909557] |	 Wynik cząstkowy: 95
[Czas: 15:56:47.403]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909557] |	 ZDAŁ A (-> B) |	 Wynik: 64.20 pkt
[Czas: 15:56:47.404]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909558] treść nr: 49
[Czas: 15:56:47.404]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909558] treść nr: 42
[Czas: 15:56:47.404]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909558] treść nr: 45
[Czas: 15:56:47.404]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909558] treść nr: 24
[Czas: 15:56:47.404]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909558] treść nr: 15
[Czas: 15:56:47.405]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909558] |	 Wynik cząstkowy: 9
[Czas: 15:56:47.405]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909558] |	 Wynik cząstkowy: 99
[Czas: 15:56:47.405]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909558] |	 Wynik cząstkowy: 21
[Czas: 15:56:47.405]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909558] |	 Wynik cząstkowy: 42
[Czas: 15:56:47.405]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909558] |	 Wynik cząstkowy: 90
[Czas: 15:56:47.406]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909558] |	 ZDAŁ A (-> B) |	 Wynik: 52.20 pkt
[Czas: 15:56:47.406]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909559] treść nr: 1
[Czas: 15:56:47.406]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909559] treść nr: 41
[Czas: 15:56:47.407]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909559] treść nr: 33
[Czas: 15:56:47.407]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909559] treść nr: 14
[Czas: 15:56:47.407]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909559] treść nr: 5
[Czas: 15:56:47.407]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909559] |	 Wynik cząstkowy: 43
[Czas: 15:56:47.407]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909559] |	 Wynik cząstkowy: 66
[Czas: 15:56:47.408]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909559] |	 Wynik cząstkowy: 12
[Czas: 15:56:47.408]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909559] |	 Wynik cząstkowy: 99
[Czas: 15:56:47.408]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909559] |	 Wynik cząstkowy: 25
[Czas: 15:56:47.408]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909559] |	 ZDAŁ A (-> B) |	 Wynik: 49.00 pkt
[Czas: 15:56:47.409]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909560] treść nr: 43
[Czas: 15:56:47.409]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909560] treść nr: 35
[Czas: 15:56:47.409]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909560] treść nr: 19
[Czas: 15:56:47.409]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909560] treść nr: 21
[Czas: 15:56:47.409]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909560] treść nr: 29
[Czas: 15:56:47.410]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909560] |	 Wynik cząstkowy: 73
[Czas: 15:56:47.410]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909560] |	 Wynik cząstkowy: 97
[Czas: 15:56:47.410]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909560] |	 Wynik cząstkowy: 49
[Czas: 15:56:47.410]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909560] |	 Wynik cząstkowy: 10
[Czas: 15:56:47.410]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909560] |	 Wynik cząstkowy: 33
[Czas: 15:56:47.410]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909560] |	 ZDAŁ A (-> B) |	 Wynik: 52.40 pkt
[Czas: 15:56:47.411]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909561] treść nr: 16
[Czas: 15:56:47.411]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909561] treść nr: 3
[Czas: 15:56:47.411]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909561] treść nr: 1
[Czas: 15:56:47.411]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909561] treść nr: 12
[Czas: 15:56:47.412]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909561] treść nr: 26
[Czas: 15:56:47.412]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909561] |	 Wynik cząstkowy: 88
[Czas: 15:56:47.412]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909561] |	 Wynik cząstkowy: 72
[Czas: 15:56:47.412]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909561] |	 Wynik cząstkowy: 93
[Czas: 15:56:47.412]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909561] |	 Wynik cząstkowy: 61
[Czas: 15:56:47.412]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909561] |	 Wynik cząstkowy: 52
[Czas: 15:56:47.413]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909561] |	 ZDAŁ A (-> B) |	 Wynik: 73.20 pkt
[Czas: 15:56:47.414]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909562] treść nr: 27
[Czas: 15:56:47.414]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909562] treść nr: 50
[Czas: 15:56:47.414]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909562] treść nr: 1
[Czas: 15:56:47.414]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909562] treść nr: 11
[Czas: 15:56:47.415]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909562] treść nr: 13
[Czas: 15:56:47.415]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909562] |	 Wynik cząstkowy: 44
[Czas: 15:56:47.415]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909562] |	 Wynik cząstkowy: 26
[Czas: 15:56:47.415]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909562] |	 Wynik cząstkowy: 8
[Czas: 15:56:47.415]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909562] |	 Wynik cząstkowy: 91
[Czas: 15:56:47.415]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909562] |	 Wynik cząstkowy: 20
[Czas: 15:56:47.416]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909562] |	 ZDAŁ A (-> B) |	 Wynik: 37.80 pkt
[Czas: 15:56:47.416]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909563] treść nr: 12
[Czas: 15:56:47.416]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909563] treść nr: 4
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909563] treść nr: 17
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909563] treść nr: 31
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909563] treść nr: 24
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909563] |	 Wynik cząstkowy: 24
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909563] |	 Wynik cząstkowy: 25
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909563] |	 Wynik cząstkowy: 92
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909563] |	 Wynik cząstkowy: 53
[Czas: 15:56:47.417]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909563] |	 Wynik cząstkowy: 39
[Czas: 15:56:47.418]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909563] |	 ZDAŁ A (-> B) |	 Wynik: 46.60 pkt
[Czas: 15:56:47.419]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909564] treść nr: 17
[Czas: 15:56:47.419]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909564] treść nr: 38
[Czas: 15:56:47.419]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909564] treść nr: 37
[Czas: 15:56:47.419]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909564] treść nr: 49
[Czas: 15:56:47.419]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909564] treść nr: 14
[Czas: 15:56:47.420]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909564] |	 Wynik cząstkowy: 41
[Czas: 15:56:47.420]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909564] |	 Wynik cząstkowy: 23
[Czas: 15:56:47.420]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909564] |	 Wynik cząstkowy: 83
[Czas: 15:56:47.420]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909564] |	 Wynik cząstkowy: 41
[Czas: 15:56:47.420]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909564] |	 Wynik cząstkowy: 69
[Czas: 15:56:47.421]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909564] |	 ZDAŁ A (-> B) |	 Wynik: 51.40 pkt
[Czas: 15:56:47.422]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909565] treść nr: 28
[Czas: 15:56:47.422]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909565] treść nr: 33
[Czas: 15:56:47.422]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909565] treść nr: 36
[Czas: 15:56:47.422]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909565] treść nr: 41
[Czas: 15:56:47.422]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909565] treść nr: 47
[Czas: 15:56:47.423]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909565] |	 Wynik cząstkowy: 56
