[Czas: 15:27:16.177]	[Komisja B] [P] Przewodniczący 0 w komisji B: Rozpoczynam pracę.
[Czas: 15:27:22.489]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767349] treść nr: 37
[Czas: 15:27:45.003]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767540] |	 Wynik cząstkowy: 65
[Czas: 15:27:45.004]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767540] |	 ZDAŁ B |	 Wynik: 74.00 pkt
[Czas: 15:27:45.004]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767541] treść nr: 27
[Czas: 15:27:45.004]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767541] treść nr: 8
[Czas: 15:27:45.005]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767541] treść nr: 26
[Czas: 15:27:45.005]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767541] |	 Wynik cząstkowy: 35
[Czas: 15:27:45.005]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767541] |	 Wynik cząstkowy: 80
[Czas: 15:27:45.005]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767541] |	 Wynik cząstkowy: 79
[Czas: 15:27:45.006]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767541] |	 ZDAŁ B |	 Wynik: 64.67 pkt
[Czas: 15:27:45.009]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767543] treść nr: 48
[Czas: 15:27:45.009]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767543] treść nr: 18
[Czas: 15:27:45.009]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767543] treść nr: 45
[Czas: 15:27:45.010]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767543] |	 Wynik cząstkowy: 78
[Czas: 15:27:45.010]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767543] |	 Wynik cząstkowy: 61
[Czas: 15:27:45.010]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767543] |	 Wynik cząstkowy: 76
[Czas: 15:27:45.012]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767543] |	 ZDAŁ B |	 Wynik: 71.67 pkt
[Czas: 15:27:45.013]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767544] treść nr: 48
[Czas: 15:27:45.013]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767544] treść nr: 19
[Czas: 15:27:45.013]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767544] treść nr: 18
[Czas: 15:27:45.013]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767544] |	 Wynik cząstkowy: 40
[Czas: 15:27:45.013]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767544] |	 Wynik cząstkowy: 51
[Czas: 15:27:45.014]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767544] |	 Wynik cząstkowy: 53
[Czas: 15:27:45.014]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767544] |	 ZDAŁ B |	 Wynik: 48.00 pkt
[Czas: 15:27:45.018]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767546] treść nr: 7
[Czas: 15:27:45.018]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767546] treść nr: 14
[Czas: 15:27:45.018]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767546] treść nr: 44
[Czas: 15:27:45.019]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767546] |	 Wynik cząstkowy: 55
[Czas: 15:27:45.019]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767546] |	 Wynik cząstkowy: 4
[Czas: 15:27:45.019]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767546] |	 Wynik cząstkowy: 91
[Czas: 15:27:45.019]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767546] |	 ZDAŁ B |	 Wynik: 50.00 pkt
[Czas: 15:27:45.021]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767547] treść nr: 17
[Czas: 15:27:45.021]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767547] treść nr: 9
[Czas: 15:27:45.021]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767547] treść nr: 26
[Czas: 15:27:45.021]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767547] |	 Wynik cząstkowy: 29
[Czas: 15:27:45.021]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767547] |	 Wynik cząstkowy: 78
[Czas: 15:27:45.021]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767547] |	 Wynik cząstkowy: 73
[Czas: 15:27:45.022]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767547] |	 ZDAŁ B |	 Wynik: 60.00 pkt
[Czas: 15:27:45.023]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767549] treść nr: 19
[Czas: 15:27:45.023]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767549] treść nr: 3
[Czas: 15:27:45.024]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767549] treść nr: 2
[Czas: 15:27:45.025]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767549] |	 Wynik cząstkowy: 56
[Czas: 15:27:45.025]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767549] |	 Wynik cząstkowy: 43
[Czas: 15:27:45.025]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767549] |	 Wynik cząstkowy: 87
[Czas: 15:27:45.026]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767549] |	 ZDAŁ B |	 Wynik: 62.00 pkt
[Czas: 15:27:45.026]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767550] treść nr: 22
[Czas: 15:27:45.027]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767550] treść nr: 35
[Czas: 15:27:45.027]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767550] treść nr: 12
[Czas: 15:27:45.027]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767550] |	 Wynik cząstkowy: 7
[Czas: 15:27:45.027]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767550] |	 Wynik cząstkowy: 64
[Czas: 15:27:45.027]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767550] |	 Wynik cząstkowy: 22
[Czas: 15:27:45.028]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767550] |	 ZDAŁ B |	 Wynik: 31.00 pkt
[Czas: 15:27:45.029]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767551] treść nr: 27
[Czas: 15:27:45.029]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767551] treść nr: 15
[Czas: 15:27:45.029]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767551] treść nr: 37
[Czas: 15:27:45.030]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767551] |	 Wynik cząstkowy: 46
[Czas: 15:27:45.030]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767551] |	 Wynik cząstkowy: 1
[Czas: 15:27:45.030]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767551] |	 Wynik cząstkowy: 68
[Czas: 15:27:45.030]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767551] |	 ZDAŁ B |	 Wynik: 38.33 pkt
[Czas: 15:27:45.031]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767552] treść nr: 30
[Czas: 15:27:45.032]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767552] treść nr: 1
[Czas: 15:27:45.032]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767552] treść nr: 4
[Czas: 15:27:45.032]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767552] |	 Wynik cząstkowy: 74
[Czas: 15:27:45.032]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767552] |	 Wynik cząstkowy: 100
[Czas: 15:27:45.032]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767552] |	 Wynik cząstkowy: 27
[Czas: 15:27:45.033]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767552] |	 ZDAŁ B |	 Wynik: 67.00 pkt
[Czas: 15:27:45.034]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767553] treść nr: 18
[Czas: 15:27:45.034]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767553] treść nr: 10
[Czas: 15:27:45.034]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767553] treść nr: 9
[Czas: 15:27:45.034]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767553] |	 Wynik cząstkowy: 58
[Czas: 15:27:45.034]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767553] |	 Wynik cząstkowy: 87
[Czas: 15:27:45.034]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767553] |	 Wynik cząstkowy: 2
[Czas: 15:27:45.035]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767553] |	 ZDAŁ B |	 Wynik: 49.00 pkt
[Czas: 15:27:45.036]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767554] treść nr: 39
[Czas: 15:27:45.036]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767554] treść nr: 8
[Czas: 15:27:45.036]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767554] treść nr: 36
[Czas: 15:27:45.037]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767554] |	 Wynik cząstkowy: 50
[Czas: 15:27:45.037]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767554] |	 Wynik cząstkowy: 44
[Czas: 15:27:45.037]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767554] |	 Wynik cząstkowy: 52
[Czas: 15:27:45.037]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767554] |	 ZDAŁ B |	 Wynik: 48.67 pkt
[Czas: 15:27:45.039]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767555] treść nr: 33
[Czas: 15:27:45.040]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767555] treść nr: 24
[Czas: 15:27:45.040]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767555] treść nr: 9
[Czas: 15:27:45.040]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767555] |	 Wynik cząstkowy: 38
[Czas: 15:27:45.040]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767555] |	 Wynik cząstkowy: 13
[Czas: 15:27:45.040]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767555] |	 Wynik cząstkowy: 93
[Czas: 15:27:45.041]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767555] |	 ZDAŁ B |	 Wynik: 48.00 pkt
[Czas: 15:27:45.042]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767556] treść nr: 12
[Czas: 15:27:45.043]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767556] treść nr: 20
[Czas: 15:27:45.043]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767556] treść nr: 38
[Czas: 15:27:45.043]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767556] |	 Wynik cząstkowy: 16
[Czas: 15:27:45.043]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767556] |	 Wynik cząstkowy: 47
[Czas: 15:27:45.044]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767556] |	 Wynik cząstkowy: 0
[Czas: 15:27:45.044]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767556] |	 OBLAŁ B |	 Wynik: 21.00 pkt
[Czas: 15:27:45.045]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767557] treść nr: 38
[Czas: 15:27:45.045]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767557] treść nr: 47
[Czas: 15:27:45.046]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767557] treść nr: 35
[Czas: 15:27:45.046]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767557] |	 Wynik cząstkowy: 42
[Czas: 15:27:45.046]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767557] |	 Wynik cząstkowy: 55
[Czas: 15:27:45.046]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767557] |	 Wynik cząstkowy: 21
[Czas: 15:27:45.047]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767557] |	 ZDAŁ B |	 Wynik: 39.33 pkt
[Czas: 15:27:45.048]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767558] treść nr: 42
[Czas: 15:27:45.048]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767558] treść nr: 39
[Czas: 15:27:45.048]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767558] treść nr: 40
[Czas: 15:27:45.049]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767558] |	 Wynik cząstkowy: 71
[Czas: 15:27:45.049]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767558] |	 Wynik cząstkowy: 85
[Czas: 15:27:45.049]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767558] |	 Wynik cząstkowy: 82
[Czas: 15:27:45.050]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767558] |	 ZDAŁ B |	 Wynik: 79.33 pkt
[Czas: 15:27:45.050]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767559] treść nr: 34
[Czas: 15:27:45.051]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767559] treść nr: 24
[Czas: 15:27:45.051]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767559] treść nr: 36
[Czas: 15:27:45.051]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767559] |	 Wynik cząstkowy: 99
[Czas: 15:27:45.051]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767559] |	 Wynik cząstkowy: 13
[Czas: 15:27:45.051]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767559] |	 Wynik cząstkowy: 88
[Czas: 15:27:45.052]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767559] |	 ZDAŁ B |	 Wynik: 66.67 pkt
[Czas: 15:27:45.053]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767560] treść nr: 44
[Czas: 15:27:45.053]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767560] treść nr: 48
[Czas: 15:27:45.053]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767560] treść nr: 14
[Czas: 15:27:45.054]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767560] |	 Wynik cząstkowy: 100
[Czas: 15:27:45.054]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767560] |	 Wynik cząstkowy: 73
[Czas: 15:27:45.054]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767560] |	 Wynik cząstkowy: 92
[Czas: 15:27:45.054]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767560] |	 ZDAŁ B |	 Wynik: 88.33 pkt
[Czas: 15:27:45.055]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767561] treść nr: 25
[Czas: 15:27:45.055]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767561] treść nr: 4
[Czas: 15:27:45.055]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767561] treść nr: 26
[Czas: 15:27:45.458]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767561] |	 Wynik cząstkowy: 2
[Czas: 15:27:45.458]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767561] |	 Wynik cząstkowy: 3
[Czas: 15:27:45.458]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767561] |	 Wynik cząstkowy: 2
[Czas: 15:27:45.459]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767561] |	 OBLAŁ B |	 Wynik: 2.33 pkt
[Czas: 15:27:45.459]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767562] treść nr: 48
[Czas: 15:27:45.459]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767562] treść nr: 41
[Czas: 15:27:45.460]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767562] treść nr: 40
[Czas: 15:27:45.460]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767562] |	 Wynik cząstkowy: 81
[Czas: 15:27:45.460]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767562] |	 Wynik cząstkowy: 8
[Czas: 15:27:45.460]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767562] |	 Wynik cząstkowy: 39
[Czas: 15:27:45.460]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767562] |	 ZDAŁ B |	 Wynik: 42.67 pkt
[Czas: 15:27:45.461]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767563] treść nr: 11
[Czas: 15:27:45.462]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767563] treść nr: 26
[Czas: 15:27:45.462]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767563] treść nr: 2
[Czas: 15:27:45.462]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767563] |	 Wynik cząstkowy: 49
[Czas: 15:27:45.462]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767563] |	 Wynik cząstkowy: 25
[Czas: 15:27:45.463]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767563] |	 Wynik cząstkowy: 71
[Czas: 15:27:45.463]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767563] |	 ZDAŁ B |	 Wynik: 48.33 pkt
[Czas: 15:27:45.464]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767564] treść nr: 26
[Czas: 15:27:45.464]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767564] treść nr: 9
[Czas: 15:27:45.464]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767564] treść nr: 12
[Czas: 15:27:45.465]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767564] |	 Wynik cząstkowy: 29
[Czas: 15:27:45.465]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767564] |	 Wynik cząstkowy: 40
